@relation segment

@attribute LOG1_2 numeric
@attribute LOG1_4 numeric
@attribute LOG1_6 numeric
@attribute LOG1_8 numeric
@attribute LOG_2 numeric
@attribute LOG_4 numeric
@attribute LOG_8 numeric
@attribute class {class1,class2}

@data
-9222.932617,-5606.837891,-3194.418213,-1993.747314,-9222.932617,-5606.837891,-1993.747314,class1
1694.182861,-1669.678223,-960.502808,-501.39798,1694.182861,-1669.678223,-501.39798,class1
-6539.966797,-1987.608398,-1052.123901,-616.899414,-6539.966797,-1987.608398,-616.899414,class1
-5874.221191,-2294.236816,-1201.45752,-739.627686,-5874.221191,-2294.236816,-739.627686,class1
-4848.697754,-2368.656738,-1429.08252,-846.417969,-4848.697754,-2368.656738,-846.417969,class1
-4272.04834,-2852.214844,-1714.384277,-888.839722,-4272.04834,-2852.214844,-888.839722,class1
-6230.291016,-3485.634277,-1684.902832,-749.594116,-6230.291016,-3485.634277,-749.594116,class1
-6756.639648,-2877.604492,-949.308228,-351.462677,-6756.639648,-2877.604492,-351.462677,class1
-3805.993164,392.837463,451.862549,219.208344,-3805.993164,392.837463,219.208344,class1
13918.025391,4362.704102,1771.173096,705.830566,13918.025391,4362.704102,705.830566,class1
9882.235352,5344.60791,2150.639404,849.772217,9882.235352,5344.60791,849.772217,class1
5027.425781,2583.178223,1328.057373,553.229492,5027.425781,2583.178223,553.229492,class1
-4676.06543,-1225.667236,-106.288025,-29.719154,-4676.06543,-1225.667236,-29.719154,class1
-6863.598145,-3229.743164,-1318.296021,-651.563782,-6863.598145,-3229.743164,-651.563782,class1
-4279.730957,-3058.385254,-1885.00708,-1138.894043,-4279.730957,-3058.385254,-1138.894043,class1
-3400.729004,-2350.585449,-1959.549072,-1474.360596,-3400.729004,-2350.585449,-1474.360596,class1
-3362.363525,-2011.128052,-1925.642578,-1723.147217,-3362.363525,-2011.128052,-1723.147217,class1
-3389.392578,-2180.966309,-2122.244873,-1953.098633,-3389.392578,-2180.966309,-1953.098633,class1
-3690.509033,-2757.966309,-2573.888428,-2166.572266,-3690.509033,-2757.966309,-2166.572266,class1
-4630.441406,-3961.184082,-3179.368164,-2327.384521,-4630.441406,-3961.184082,-2327.384521,class1
-6517.840332,-5560.770508,-3577.710205,-2312.353271,-6517.840332,-5560.770508,-2312.353271,class1
-511.277588,-1223.696045,-442.281769,-97.368454,-511.277588,-1223.696045,-97.368454,class1
-2234.865723,-1478.105347,-566.731567,-258.865112,-2234.865723,-1478.105347,-258.865112,class1
-1220.700684,-1185.345459,-612.95813,-398.581177,-1220.700684,-1185.345459,-398.581177,class1
-4547.8125,-921.128906,-763.384033,-537.484009,-4547.8125,-921.128906,-537.484009,class1
-1435.23291,-1725.110718,-1155.324585,-657.96582,-1435.23291,-1725.110718,-657.96582,class1
-6362.552246,-3081.814941,-1421.550537,-652.188721,-6362.552246,-3081.814941,-652.188721,class1
-8342.793945,-3034.69873,-1054.873779,-421.56604,-8342.793945,-3034.69873,-421.56604,class1
-2067.674316,-255.752869,20.96315,-2.145317,-2067.674316,-255.752869,-2.145317,class1
12046.099609,3046.619141,1147.960938,395.063538,12046.099609,3046.619141,395.063538,class1
5233.832031,3745.064697,1552.278564,542.164734,5233.832031,3745.064697,542.164734,class1
632.657043,1580.111328,956.087891,322.394196,632.657043,1580.111328,322.394196,class1
